372,La Caletta di Siniscola,41.020832,10.251389
373,MARCIANA MARINA,42.783333,10.2
374,MARINA DI CAMPO,42.716667,10.216666
375,MARSALA,37.783333,12.416667
376,MARUGGIO,40.316666,17.566666
381,PORTO CONTE (FERTILIA),40.6,8.2
387,PORTOSCUSO,39.2,8.366667
388,Porto Cesareo,40.4375,18.508612
392,SANTA TERESA DI GALLURA,41.216667,9.166667
398,TORRE DEL GRECO,40.766666,14.366667
405,ACCIAROLI,40.166668,15.016666
434,PORTICI,40.816666,14.316667
438,POZZALLO,36.716667,14.833333
444,SAVONA,44.266666,8.5
475,BARLETTA,41.316666,16.266666
531,FORIO D'ISCHIA,40.716667,13.85
553,RODI GARGANICO,41.916668,15.866667
568,ACI TREZZA,37.55,15.15
573,ARENZANO,44.383335,8.666667
587,CASTIGLIONE DELLA PESCAIA,42.766666,10.866667
631,PATTI MARINA,38.116665,14.966666
645,REGGIO CALABRIA,38.1,15.65
658,SAPRI,40.066666,15.616667
701,IESOLO,45.533333,12.633333
734,SPERLONGA,41.25,13.416667
739,VASTO,42.116665,14.7
766,MARETTIMO,37.966667,12.066667
823,AGROPOLI,40.35,14.966666
854,MARINA DI CARRARA,44.016666,10.016666
876,RAVENNA,44.416668,12.2
1012,ALASSIO,44,8.166667
1067,CECINA,43.316666,10.516666
1182,TORVAIANICA,41.616665,12.466666
1186,AMALFI,40.616665,14.6
1192,CAPRAIA,43.033333,9.816667
1194,CASTIGLIONCELLO,43.4,10.4
1206,MARINA DI CAMEROTA,40,15.366667
1254,CASAMICCIOLA,40.75,13.866667
1285,LERICI,44.066666,9.916667
1310,PANTELLERIA,36.816666,11.95
1340,SANTO STEFANO DI CAMASTRA,38.016666,14.35
1345,SOVERATO,38.666668,16.55
1346,TALAMONE,42.533333,11.116667
1416,PORTO CERVO,41.116665,9.516666
1495,LESINA,41.866665,15.35
1834,LE CASTELLA,38.90889,17.023333
2647,CAMOGLI,44.35,9.15
2750,TROPEA,38.666668,15.9
2969,MARINA DI PISA,43.666668,10.266666
3526,USTICA,38.7,13.166667
3530,CARLOFORTE,39.133335,8.3
4067,PORTO LEVANTE,45.033333,12.35
4326,MONTEROSSO AL MARE,44.133335,9.65
5114,SORRENTO,40.616665,14.366667
5493,MONDELLO,38.2,13.316667
5724,SINISCOLA,40.75,8.2
6300,GELA,37.066666,14.25
6416,STROMBOLI,38.766666,15.216666
6513,PORTOFINO,44.283333,9.2
6525,SANTA MARINELLA,42.016666,11.85
6536,VILLA SAN GIOVANNI,38.216667,15.616667
6767,FAVIGNANA,37.916668,12.316667
7917,FOLLONICA,42.916668,10.75
7931,VADA,45.766666,12.916667
10336,SCARIO,40.033333,15.466666
11324,ROSETO DEGLI ABRUZZI,42.666668,14.016666
11328,VENEZIA,45.433334,12.316667
