id,data_sbarco,nome_porto,latitudine,longitudine,nome_specie,quantita
63,2019-05-24T19:02:00.000Z,RIMINI,44.05,12.566667,Triglia di fango,135.0
64,2019-05-24T19:02:00.000Z,RIMINI,44.05,12.566667,Sogliola adriatica,6.0
65,2019-05-24T19:02:00.000Z,RIMINI,44.05,12.566667,Scampo,6.0
66,2019-05-24T19:02:00.000Z,RIMINI,44.05,12.566667,Granchio comune ,40.0
67,2019-05-24T19:02:00.000Z,RIMINI,44.05,12.566667,Sgombro,6.0
68,2019-05-24T19:02:00.000Z,RIMINI,44.05,12.566667,Polpo di scoglio ,40.0
69,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Cuore,4.9
70,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Murice ,4.0
71,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Seppia comune,6.9
72,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Sogliola,1.3
73,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Merluzzo argentato - Nasello,1.0
74,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Mazzancolla ,1.7
75,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Suacia,0.5
76,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Triglia di fango,1.0
77,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Trachinus spp,2.8
78,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Pannocchia, Canocchia,0.7
79,2019-03-11T10:30:00.000Z,ANZIO,41.45,12.616667,Polpo di scoglio ,2.8
80,2019-03-01T10:10:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,50.0
81,2019-03-08T08:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,100.0
82,2019-03-19T08:00:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,80.0
83,2019-03-25T10:10:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,50.0
84,2019-04-01T07:10:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,100.0
85,2019-03-23T08:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,130.0
86,2019-04-02T08:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,50.0
87,2019-04-01T09:15:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,50.0
88,2019-03-21T10:00:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,80.0
89,2019-04-04T08:00:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,80.0
90,2019-03-21T10:00:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,80.0
91,2019-03-22T10:00:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,70.0
92,2019-03-22T11:15:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,90.0
93,2019-04-04T09:10:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,80.0
94,2019-03-21T08:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,70.0
95,2019-04-02T08:00:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,40.0
96,2019-04-04T11:15:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,80.0
97,2019-03-22T10:00:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,90.0
98,2019-04-01T08:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,60.0
99,2019-03-18T08:00:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,20.0
100,2019-03-26T09:10:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,60.0
101,2019-04-04T08:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,120.0
102,2019-04-11T10:15:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,60.0
103,2019-04-26T10:05:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,140.0
104,2019-05-16T13:20:00.000Z,TORVAIANICA,41.616665000000005,12.466666,Cuore,300.0
105,2019-05-14T12:20:00.000Z,TORVAIANICA,41.616665000000005,12.466666,Cuore,200.0
106,2019-05-15T12:40:00.000Z,TORVAIANICA,41.616665000000005,12.466666,Cuore,300.0
107,2019-04-19T09:10:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,150.0
108,2019-04-08T08:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,50.0
109,2019-04-18T07:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,110.0
110,2019-05-17T13:20:00.000Z,TORVAIANICA,41.616665000000005,12.466666,Cuore,240.0
111,2019-04-12T10:10:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,70.0
112,2019-05-13T13:20:00.000Z,TORVAIANICA,41.616665000000005,12.466666,Cuore,250.0
113,2019-04-16T08:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,80.0
114,2019-04-12T07:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,120.0
115,2019-04-11T07:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,80.0
116,2019-04-19T07:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,150.0
117,2019-04-18T11:10:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,60.0
118,2019-04-26T08:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,180.0
119,2019-01-29T15:30:00.000Z,ANZIO,41.45,12.616667,Cuore,22.6
120,2019-01-29T15:30:00.000Z,ANZIO,41.45,12.616667,Murice ,10.8
121,2019-01-29T15:30:00.000Z,ANZIO,41.45,12.616667,Seppia comune,19.4
122,2019-01-29T15:30:00.000Z,ANZIO,41.45,12.616667,Sogliola,3.7
123,2019-01-29T15:30:00.000Z,ANZIO,41.45,12.616667,Mazzancolla ,3.0
124,2019-01-29T15:30:00.000Z,ANZIO,41.45,12.616667,Suacia,5.9
125,2019-01-29T15:30:00.000Z,ANZIO,41.45,12.616667,Trachinus spp,6.2
126,2019-01-29T15:30:00.000Z,ANZIO,41.45,12.616667,Razza stellata,2.0
127,2019-01-29T15:30:00.000Z,ANZIO,41.45,12.616667,Pannocchia, Canocchia,1.7
128,2019-01-29T15:30:00.000Z,ANZIO,41.45,12.616667,Polpo di scoglio ,8.8
129,2019-01-12T13:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,70.0
130,2019-01-17T10:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,50.0
131,2019-01-11T13:05:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,70.0
132,2019-01-18T09:30:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,60.0
133,2019-01-17T09:00:00.000Z,MARGHERITA DI SAVOIA,41.366665000000005,16.133333,Cuore,60.0
134,2019-01-23T15:30:00.000Z,ANZIO,41.45,12.616667,Cuore,36.7
135,2019-01-23T15:30:00.000Z,ANZIO,41.45,12.616667,Murice ,16.4
136,2019-01-23T15:30:00.000Z,ANZIO,41.45,12.616667,Seppia comune,21.7
137,2019-01-23T15:30:00.000Z,ANZIO,41.45,12.616667,Scorfano rosso,0.4
138,2019-01-23T15:30:00.000Z,ANZIO,41.45,12.616667,Sogliola,2.5
139,2019-01-23T15:30:00.000Z,ANZIO,41.45,12.616667,Merluzzo argentato - Nasello,1.3
140,2019-01-23T15:30:00.000Z,ANZIO,41.45,12.616667,Mazzancolla ,1.6
141,2019-01-23T15:30:00.000Z,ANZIO,41.45,12.616667,Suacia,12.4
142,2019-01-23T15:30:00.000Z,ANZIO,41.45,12.616667,Pesce prete,0.9
143,2019-01-23T15:30:00.000Z,ANZIO,41.45,12.616667,Tracina drago ,8.5
