,ITTER107,Territorio,TIPO_DATO5,Tipo variabile,AGRI_MADRE,Tipo di coltivazione,TIME,Seleziona periodo,Value
1334,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,960
1349,ITF2,Molise,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,2250
1361,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,8000
1373,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,3800
1385,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,6250
1397,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,12195
1430,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,86899
1478,ITC3,Liguria,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,3060
1496,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,62834
1550,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,15876
1595,ITD4,Friuli-Venezia Giulia,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,1250
1625,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,15670
1658,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,54560
1715,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,8720
1733,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,93878
1763,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,45090
1802,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,131940
1832,ITF2,Molise,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,7200
1850,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,69498
1886,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,279510
1922,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,37241
1940,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,65342
1964,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,20300
1994,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,7463
2034,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,66875
2076,ITC3,Liguria,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,440
2094,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,6040
2142,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,140530
2184,ITD4,Friuli-Venezia Giulia,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,310
2196,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,5460
2244,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,1545
2286,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,7800
2298,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,2583
2328,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,72900
2358,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,1088
2382,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,221968
2406,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,17610
2430,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,480
2442,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,14036
2478,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,193270
2532,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,REDRINGR,peperone in serra,2018,2018,10471
2588,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,1750
2600,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,2051
2624,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,1892
2645,ITD4,Friuli-Venezia Giulia,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,983
2663,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,10640
2690,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,4033
2735,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,2556
2753,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,10000
2783,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,3680
2795,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,7000
2807,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,74250
2831,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,40160
2855,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,CUCUINOPE,cetriolo da mensa in piena aria,2018,2018,19750
2885,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,GHERINOPEN,cetriolo da sottaceti in piena aria,2018,2018,280
2898,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,GHERINOPEN,cetriolo da sottaceti in piena aria,2018,2018,415
2918,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,GHERINOPEN,cetriolo da sottaceti in piena aria,2018,2018,115
2940,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,450
2958,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,136788
2988,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,229385
3027,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,56570
3081,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,9024
3117,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,6000
3129,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,225
3153,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,125550
3180,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,1000
3192,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,164092
3216,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,9750
3240,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,73100
3252,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,6489
3276,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,102565
3324,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,MELOGREENHO,popone o melone in serra,2018,2018,23920
3380,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,85508
3404,ITC3,Liguria,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,440
3422,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,932510
3464,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,160010
3506,ITD4,Friuli-Venezia Giulia,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,3300
3530,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,396346
3596,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,136038
3650,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,122400
3668,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,36151
3698,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,250000
3728,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,157535
3758,ITF2,Molise,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,6000
3770,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,261527
